PERMNO,date,TICKER,COMNAM,PERMCO,CUSIP,RETX
84788,20080627,AMZN,AMAZON COM INC,15473,2313510,-0.021494
84788,20080630,AMZN,AMAZON COM INC,15473,2313510,-0.017814
84788,20080701,AMZN,AMAZON COM INC,15473,2313510,0.003955
84788,20080702,AMZN,AMAZON COM INC,15473,2313510,-0.029612
84788,20080703,AMZN,AMAZON COM INC,15473,2313510,0.007839
84788,20080707,AMZN,AMAZON COM INC,15473,2313510,0.006806
84788,20080708,AMZN,AMAZON COM INC,15473,2313510,0.035177
84788,20080709,AMZN,AMAZON COM INC,15473,2313510,-0.059035
84788,20080710,AMZN,AMAZON COM INC,15473,2313510,0.000283
84788,20080711,AMZN,AMAZON COM INC,15473,2313510,-0.029591
84788,20080714,AMZN,AMAZON COM INC,15473,2313510,-0.032973
84788,20080715,AMZN,AMAZON COM INC,15473,2313510,0.011316
84788,20080716,AMZN,AMAZON COM INC,15473,2313510,0.071759
84788,20080717,AMZN,AMAZON COM INC,15473,2313510,0.003758
84788,20080718,AMZN,AMAZON COM INC,15473,2313510,-0.041464
84788,20080721,AMZN,AMAZON COM INC,15473,2313510,-0.009259
84788,20080722,AMZN,AMAZON COM INC,15473,2313510,-0.007447
84788,20080723,AMZN,AMAZON COM INC,15473,2313510,0.037811
84788,20080724,AMZN,AMAZON COM INC,15473,2313510,0.115963
84788,20080725,AMZN,AMAZON COM INC,15473,2313510,-0.005208
84788,20080728,AMZN,AMAZON COM INC,15473,2313510,-0.029753
84788,20080729,AMZN,AMAZON COM INC,15473,2313510,0.02935
84788,20080730,AMZN,AMAZON COM INC,15473,2313510,0
84788,20080731,AMZN,AMAZON COM INC,15473,2313510,-0.02391
84788,20080801,AMZN,AMAZON COM INC,15473,2313510,-0.007729
84788,20080804,AMZN,AMAZON COM INC,15473,2313510,-0.000528
84788,20080805,AMZN,AMAZON COM INC,15473,2313510,0.044908
84788,20080806,AMZN,AMAZON COM INC,15473,2313510,-0.012893
84788,20080807,AMZN,AMAZON COM INC,15473,2313510,-0.014599
84788,20080808,AMZN,AMAZON COM INC,15473,2313510,0.046264
84788,20080811,AMZN,AMAZON COM INC,15473,2313510,0.09415
84788,20080812,AMZN,AMAZON COM INC,15473,2313510,-0.009536
84788,20080813,AMZN,AMAZON COM INC,15473,2313510,-0.006418
84788,20080814,AMZN,AMAZON COM INC,15473,2313510,0.015457
84788,20080815,AMZN,AMAZON COM INC,15473,2313510,-0.018516
84788,20080818,AMZN,AMAZON COM INC,15473,2313510,-0.038079
84788,20080819,AMZN,AMAZON COM INC,15473,2313510,-0.021899
84788,20080820,AMZN,AMAZON COM INC,15473,2313510,0.010333
84788,20080821,AMZN,AMAZON COM INC,15473,2313510,0.013759
84788,20080822,AMZN,AMAZON COM INC,15473,2313510,0.024021
84788,20080825,AMZN,AMAZON COM INC,15473,2313510,-0.028267
84788,20080826,AMZN,AMAZON COM INC,15473,2313510,-0.013156
84788,20080827,AMZN,AMAZON COM INC,15473,2313510,-0.000367
84788,20080828,AMZN,AMAZON COM INC,15473,2313510,0.020678
84788,20080829,AMZN,AMAZON COM INC,15473,2313510,-0.031287
84788,20080902,AMZN,AMAZON COM INC,15473,2313510,0.007425
84788,20080903,AMZN,AMAZON COM INC,15473,2313510,-0.007862
84788,20080904,AMZN,AMAZON COM INC,15473,2313510,-0.033923
84788,20080905,AMZN,AMAZON COM INC,15473,2313510,0.014866
84788,20080908,AMZN,AMAZON COM INC,15473,2313510,0.024877
84788,20080909,AMZN,AMAZON COM INC,15473,2313510,-0.026121
84788,20080910,AMZN,AMAZON COM INC,15473,2313510,-0.029099
84788,20080911,AMZN,AMAZON COM INC,15473,2313510,0.036096
84788,20080912,AMZN,AMAZON COM INC,15473,2313510,-0.015218
84788,20080915,AMZN,AMAZON COM INC,15473,2313510,-0.012261
84788,20080916,AMZN,AMAZON COM INC,15473,2313510,0.017973
